JobID,Job_Title,Salary_estimate_range,Min_Salary_Estimate,Max_Salary_Estimate,Location
10001,Sr. Data Analyst,$67K-$92K ,67000,92000,"Chicago, IL"
10002,Data Analyst,$73K-$89K ,73000,89000,"San Antonio, TX"
10003,Data Analust IV,$76K-$122K ,76000,122000,"San Diego, CA"
10004,Jr. Data Analyst,$42K-$76K ,42000,76000,"Austin, TX"
10005,Data Analyst,$43K-$94K ,43000,94000,"Chandler, AZ"
10006,Data Analyst,$60K-$66K ,60000,66000,"Chicago, IL"
10007,Data Analyst,$84K-$90K ,84000,90000,"New York, NY"
10008,Data Analyst,$47K-$76K ,47000,76000,"Houston, TX"
10009,Data Analyst,$60K-$66K ,60000,66000,"Downers Grove, IL"
10010,Data Analyst,$57K-$104K ,57000,104000,"San Francisco, CA"
10011,Data Analyst,$113K-$132K ,113000,132000,"Los Angeles, CA"
10012,Data Analyst,$113K-$132K ,113000,132000,"Los Angeles, CA"
10013,Data Analyst,$43K-$94K ,43000,94000,"Chandler, AZ"
10014,Data Analyst,$50K-$86K ,50000,86000,"Charlotte, NC"
10015,Data Analyst,$50K-$86K ,50000,86000,"Charlotte, NC"
10016,Sr. Data Analyst,$53K-$99K ,53000,99000,"Charlotte, NC"
10017,Data Analyst,$54K-$75K ,54000,75000,"Charlotte, NC"
10018,Data Analyst,$30K-$53K ,30000,53000,"Dallas, TX"
10019,Data Analyst,$49K-$91K ,49000,91000,"Denver, CO"
10020,Data Analyst,$42K-$76K ,42000,76000,"Evanston, IL"
10021,Data Analyst,$35K-$45K ,35000,45000,"Los Angeles, CA"
10022,Jr. Data Analyst,$51K-$88K ,51000,88000,"New York, NY"
10023,Sr. Data Analyst,$44K-$78K ,44000,78000,"Plano, TX"
10024,Jr. Data Analyst,$48K-$88K ,48000,88000,"Plano, TX"
10025,Data Analyst,$48K-$88K ,48000,88000,"Plano, TX"
10026,Sr. Data Analyst,$37K-$68K ,37000,68000,"San Antonio, TX"
10027,Data Science Analyst,$73K-$89K ,73000,89000,"San Antonio, TX"
10028,Data Analyst,$65K-$120K ,65000,120000,"San Ramon, CA"
10029,Data Analyst,$27K-$52K ,27000,52000,"Summit, NJ"
10030,Business Data Analyst,$37K-$44K ,37000,44000,"Wilmington, DE"
10031,Data Analyst,$50K-$93K ,50000,93000,"Wilmington, DE"
10032,Data Analyst,$29K-$38K ,29000,38000,"Houston, TX"
10033,Data Analyst,$30K-$54K ,30000,54000,"Gainesville, FL"
10034,Data Analyst,$46K-$102K ,46000,102000,"Tempe, AZ"
10035,Data Analyst,$74K-$123K ,74000,123000,"Houston, TX"
10036,Data Analyst,$30K-$53K ,30000,53000,"Dallas, TX"
10037,Data Analyst,$30K-$53K ,30000,53000,"Dallas, TX"
10038,Data Analyst,$76K-$122K ,76000,122000,"San Diego, CA"
10039,Data Analyst,$37K-$68K ,37000,68000,"San Antonio, TX"
10040,Data Analyst,$24K-$48K ,24000,48000,"Irving, TX"
10041,Data Analyst,$76K-$122K ,76000,122000,"San Diego, CA"
10042,Data Analyst,$60K-$66K ,60000,66000,"Chicago, IL"
10043,Sr. Data Analyst,$97K-$129K ,97000,129000,"Chicago, IL"
10044,Sr. Data Analyst,$42K-$76K ,42000,76000,"Chicago, IL"
10045,Data Analyst,$37K-$70K ,37000,70000,"Los Angeles, CA"
10046,Sr. Business Analyst,$50K-$93K ,50000,93000,"Marlton, NJ"
10047,Data Analyst,$64K-$113K ,64000,113000,"Marlton, NJ"
10048,Business Data Analyst,$37K-$44K ,37000,44000,"Mount Laurel, NJ"
10049,Data Analyst,$64K-$113K ,64000,113000,"Mount Laurel, NJ"
10050,Data Analyst,$37K-$66K ,37000,66000,"New York, NY"
10051,Data Analyst,$65K-$81K ,65000,81000,"El Segundo, CA"
10052,Sr. Data Analyst,$65K-$81K ,65000,81000,"El Segundo, CA"
10053,Data Analyst,$67K-$92K ,67000,92000,"Chicago, IL"
10054,Data Analyst,$28K-$52K ,28000,52000,"Columbus, OH"
10055,Data Analyst,$28K-$52K ,28000,52000,"Columbus, OH"
10056,Data Analyst,$28K-$52K ,28000,52000,"Columbus, OH"
10057,Data Analyst,$46K-$86K ,46000,86000,"Columbus, OH"
10058,Data Analyst II,$113K-$132K ,113000,132000,"Whittier, CA"
10059,Data Analyst,$51K-$87K ,51000,87000,"New York, NY"
10060,Data Analyst,$98K-$114K ,98000,114000,"West Orange, NJ"
10061,Data Analyst,$37K-$70K ,37000,70000,"Los Angeles, CA"
10062,Data Analyst,$43K-$76K ,43000,76000,"New York, NY"
10063,Data Analyst II,$43K-$76K ,43000,76000,"New York, NY"
10064,Data Science Analyst,$98K-$114K ,98000,114000,"New York, NY"
10065,Data Analyst,$60K-$66K ,60000,66000,"Chicago, IL"
10066,Data Analyst,$51K-$93K ,51000,93000,"San Jose, CA"
10067,Data Analyst,$58K-$93K ,58000,93000,"San Jose, CA"
10068,Data Analyst,$69K-$127K ,69000,127000,"San Jose, CA"
10069,Sr. Data Analyst,$26K-$47K ,26000,47000,"Draper, UT"
10070,Sr. Data Analyst,$65K-$120K ,65000,120000,"San Francisco, CA"
10071,Data Analyst,$82K-$116K ,82000,116000,"San Francisco, CA"
10072,Sr. Data Analyst,$51K-$93K ,51000,93000,"San Jose, CA"
10073,Data Analyst,$35K-$45K ,35000,45000,"Los Angeles, CA"
10074,Data Analyst,$57K-$103K ,57000,103000,"Los Angeles, CA"
10075,Sr. Data Analyst,$57K-$67K ,57000,67000,"Denver, CO"
10076,Data Analyst,$48K-$96K ,48000,96000,"Montvale, NJ"
10077,Data Analyst,$46K-$102K ,46000,102000,"Phoenix, AZ"
10078,Data Analyst,$73K-$82K ,73000,82000,"Chicago, IL"
10079,Sr. Data Analyst,$48K-$88K ,48000,88000,"Dallas, TX"
10080,Sr. Data Analyst,$84K-$90K ,84000,90000,"New York, NY"
10081,Lead Data Analyst,$69K-$127K ,69000,127000,"Los Gatos, CA"
10082,Sr. Data Analyst,$37K-$70K ,37000,70000,"Santa Monica, CA"
10083,Data Analyst,$60K-$110K ,60000,110000,"New York, NY"
10084,Data Analyst,$82K-$116K ,82000,116000,"Novato, CA"
10085,Data Analyst,$53K-$94K ,53000,94000,"Phoenix, AZ"
10086,Data Analyst,$67K-$92K ,67000,92000,"Chicago, IL"
10087,Data Analyst,$58K-$93K ,58000,93000,"Palo Alto, CA"
10088,Data Analyst,$40K-$74K ,40000,74000,"Mooresville, NC"
10089,Data Analyst,$43K-$94K ,43000,94000,"Chandler, AZ"
10090,Data Analyst,$46K-$102K ,46000,102000,"Chandler, AZ"
10091,Data Analyst,$57K-$67K ,57000,67000,"Denver, CO"
10092,Data Analyst,$49K-$91K ,49000,91000,"Englewood, CO"
10093,Business Data Analyst,$63K-$116K ,63000,116000,"Palo Alto, CA"
10094,Business Data Analyst,$89K-$151K ,89000,151000,"San Jose, CA"
10095,Sr. Data Analyst,$47K-$74K ,47000,74000,"San Francisco, CA"
10096,Data Analyst,$82K-$116K ,82000,116000,"San Francisco, CA"
10097,Data Analyst,$41K-$78K ,41000,78000,"New York, NY"
10098,Data Analyst,$59K-$85K ,59000,85000,"New York, NY"
10099,Data Analyst,$53K-$99K ,53000,99000,"Charlotte, NC"
10100,Sr. Data Analyst,$97K-$129K ,97000,129000,"Chicago, IL"
10101,Data Analyst,$97K-$129K ,97000,129000,"Elk Grove Village, IL"
10102,Data Analyst,$37K-$66K ,37000,66000,"Jersey City, NJ"
10103,Data Analyst,$99K-$178K ,99000,178000,"San Francisco, CA"
10104,Data Analyst,$93K-$159K ,93000,159000,"Marin City, CA"
10105,Data Analyst,$45K-$78K ,45000,78000,"Scottsdale, AZ"
10106,Data Analyst,$60K-$124K ,60000,124000,"San Diego, CA"
10107,Data Analyst,$60K-$124K ,60000,124000,"San Diego, CA"
10108,Sr. Data Analyst,$77K-$132K ,77000,132000,"New York, NY"
10109,Data Analyst,$82K-$116K ,82000,116000,"Burlingame, CA"
10110,Data Analyst,$36K-$67K ,36000,67000,"Burlingame, KS"
10111,Data Analyst,$34K-$61K ,34000,61000,"Indianapolis, IN"
10112,Data Analyst,$44K-$78K ,44000,78000,"Irving, TX"
10113,Data Analyst,$89K-$151K ,89000,151000,"San Jose, CA"
10114,Data Analyst,$57K-$67K ,57000,67000,"Boulder, CO"
10115,Data Analyst,$55K-$103K ,55000,103000,"Los Angeles, CA"
10116,Data Analyst,$55K-$103K ,55000,103000,"Los Angeles, CA"
10117,Data Analyst,$50K-$86K ,50000,86000,"Fort Worth, TX"
10118,Sr. Data Analyst,$63K-$116K ,63000,116000,"San Jose, CA"
10119,Business Data Analyst,$50K-$93K ,50000,93000,"Horsham, PA"
10120,Data Analyst,$28K-$52K ,28000,52000,"Dublin, OH"
10121,Data Analyst,$29K-$38K ,29000,38000,"Houston, TX"
10122,Data Analyst,$47K-$76K ,47000,76000,"Houston, TX"
10123,Data Analyst,$74K-$123K ,74000,123000,"Houston, TX"
10124,Data Science Analyst,$41K-$86K ,41000,86000,"Dallas, TX"
10125,Data Analyst,$29K-$38K ,29000,38000,"Stafford, TX"
10126,Data Analyst,$53K-$94K ,53000,94000,"Phoenix, AZ"
10127,Data Analyst,$35K-$42K ,35000,42000,"Austin, TX"
10128,Jr. Data Analyst,$43K-$69K ,43000,69000,"Yorktown, VA"
10129,Data Analyst II,$35K-$67K ,35000,67000,"Kent, WA"
10130,Data Analyst,$57K-$104K ,57000,104000,"San Francisco, CA"
10131,Business Data Analyst,$51K-$93K ,51000,93000,"Sunnyvale, CA"
10132,Data Analyst,$43K-$69K ,43000,69000,"Portsmouth, VA"
10133,Jr. Data Analyst,$43K-$69K ,43000,69000,"Portsmouth, VA"
10134,Data Analyst,$43K-$69K ,43000,69000,"Portsmouth, VA"
10135,Sr. Data Analyst,$43K-$69K ,43000,69000,"Portsmouth, VA"
10136,Sr. Data Analyst,$44K-$82K ,44000,82000,"Dallas, TX"
10137,Data Analyst,$43K-$69K ,43000,69000,"Hampton, VA"
10138,Data Analyst,$49K-$112K ,49000,112000,"Hampton, VA"
10139,Data Analyst,$65K-$81K ,65000,81000,"Azusa, CA"
10140,Data Analyst,$38K-$68K ,38000,68000,"Exton, PA"
10141,Data Analyst,$34K-$61K ,34000,61000,"Indianapolis, IN"
10142,Business Data Analyst,$65K-$120K ,65000,120000,"San Francisco, CA"
10143,Data Analyst,$49K-$112K ,49000,112000,"Fort Eustis, VA"
10144,Data Analyst,$37K-$70K ,37000,70000,"Los Angeles, CA"
10145,Data Analyst,$57K-$103K ,57000,103000,"Los Angeles, CA"
10146,Sr. Data Analyst,$48K-$96K ,48000,96000,"New York, NY"
10147,Data Analyst,$51K-$88K ,51000,88000,"New York, NY"
10148,Data Analyst,$60K-$110K ,60000,110000,"New York, NY"
10149,Jr. Data Analyst,$60K-$110K ,60000,110000,"New York, NY"
10150,Sr. Data Analyst,$98K-$114K ,98000,114000,"New York, NY"
10151,Data Analyst,$30K-$53K ,30000,53000,"Arlington, TX"
10152,Data Analyst,$57K-$100K ,57000,100000,"Denver, CO"
10153,Sr. Data Analyst,$48K-$96K ,48000,96000,"Jersey City, NJ"
10154,Data Analyst,$89K-$151K ,89000,151000,"San Jose, CA"
10155,Data Analyst,$60K-$66K ,60000,66000,"Chicago, IL"
10156,Data Analyst,$73K-$82K ,73000,82000,"Chicago, IL"
10157,Data Analyst,$50K-$93K ,50000,93000,"King of Prussia, PA"
10158,Data Analyst,$37K-$44K ,37000,44000,"Conshohocken, PA"
10159,Sr. Data Analyst,$44K-$78K ,44000,78000,"Plano, TX"
10160,Sr. Data Analyst,$73K-$89K ,73000,89000,"San Antonio, TX"
10161,Sr. Data Analyst,$60K-$124K ,60000,124000,"San Diego, CA"
10162,Data Analyst,$42K-$76K ,42000,76000,"Chicago, IL"
10163,Data Analyst,$37K-$44K ,37000,44000,"Berwyn, PA"
10164,Sr. Data Analyst,$42K-$66K ,42000,66000,"Santa Monica, CA"
10165,Financial Data Analyst,$43K-$94K ,43000,94000,"Phoenix, AZ"
10166,Data Analyst,$53K-$94K ,53000,94000,"Phoenix, AZ"
10167,Sr. Data Analyst,$55K-$101K ,55000,101000,"Seattle, WA"
10168,Data Analyst,$74K-$123K ,74000,123000,"Houston, TX"
10169,Data Analyst,$69K-$127K ,69000,127000,"Cupertino, CA"
10170,Business Data Analyst,$60K-$124K ,60000,124000,"San Diego, CA"
10171,Data Analyst,$51K-$87K ,51000,87000,"New York, NY"
10172,Data Analyst,$37K-$44K ,37000,44000,"Paoli, PA"
10173,Data Analyst IV,$60K-$124K ,60000,124000,"San Diego, CA"
10174,Data Analyst,$29K-$38K ,29000,38000,"Houston, TX"
10175,Data Analyst III,$47K-$76K ,47000,76000,"Houston, TX"
10176,Data Analyst,$42K-$76K ,42000,76000,"Austin, TX"
10177,Data Analyst,$47K-$74K ,47000,74000,"Burlingame, CA"
10178,Data Analyst,$82K-$116K ,82000,116000,"Burlingame, CA"
10179,Data Analust IV,$93K-$159K ,93000,159000,"Burlingame, CA"
10180,Data Analyst,$55K-$103K ,55000,103000,"Los Angeles, CA"
10181,Data Analyst,$57K-$103K ,57000,103000,"Los Angeles, CA"
10182,Data Analyst,$97K-$129K ,97000,129000,"Maywood, IL"
10183,Data Analyst,$42K-$74K ,42000,74000,"New York, NY"
10184,Data Analyst,$30K-$53K ,30000,53000,"Dallas, TX"
10185,Business Data Analyst,$35K-$67K ,35000,67000,"Seattle, WA"
10186,Sr. Data Analyst,$65K-$120K ,65000,120000,"San Mateo, CA"
10187,Data Analyst,$82K-$116K ,82000,116000,"Foster City, CA"
10188,Data Scientist,$82K-$116K ,82000,116000,"Foster City, CA"
10189,Sr. Data Analyst,$57K-$100K ,57000,100000,"Louisville, CO"
10190,Data Analyst,$42K-$74K ,42000,74000,"Jersey City, NJ"
10191,Data Analyst,$50K-$86K ,50000,86000,"Charlotte, NC"
10192,Data Analyst,$74K-$123K ,74000,123000,"Houston, TX"
10193,Data Analyst,$37K-$44K ,37000,44000,"Horsham, PA"
10194,Data Analyst,$37K-$44K ,37000,44000,"Horsham, PA"
10195,Business Data Analyst,$50K-$93K ,50000,93000,"Horsham, PA"
10196,Data Analyst,$110K-$190K ,110000,190000,"Santa Clara, CA"
10197,Data Analyst,$42K-$76K ,42000,76000,"Austin, TX"
10198,Sr. Data Analyst,$42K-$66K ,42000,66000,"Los Angeles, CA"
10199,Business Data Analyst,$37K-$66K ,37000,66000,"New York, NY"
10200,Sr. Data Analyst,$57K-$104K ,57000,104000,"San Francisco, CA"
10201,Financial Data Analyst,$113K-$132K ,113000,132000,"Burbank, CA"
10202,Sr. Data Analyst,$55K-$101K ,55000,101000,"Seattle, WA"
10203,Data Analyst,$43K-$76K ,43000,76000,"New York, NY"
10204,Data Analyst,$43K-$76K ,43000,76000,"New York, NY"
10205,Data Analyst,$41K-$78K ,41000,78000,"Philadelphia, PA"
10206,Data Analyst,$64K-$113K ,64000,113000,"Philadelphia, PA"
10207,Business Data Analyst,$38K-$68K ,38000,68000,"Bensalem, PA"
10208,Sr. Data Analyst,$42K-$66K ,42000,66000,"Los Angeles, CA"
10209,Data Analyst,$48K-$88K ,48000,88000,"Allen, TX"
10210,Data Analyst,$26K-$47K ,26000,47000,"American Fork, UT"
10211,Data Analyst,$49K-$91K ,49000,91000,"Broomfield, CO"
10212,Data Analyst,$57K-$100K ,57000,100000,"Greenwood Village, Arapahoe, CO"
10213,Data Analyst III,$35K-$42K ,35000,42000,"Austin, TX"
10214,Data Analyst,$41K-$78K ,41000,78000,"Newark, NJ"
10215,Sr. Business Analyst,$58K-$93K ,58000,93000,"San Jose, CA"
10216,Data Analyst,$57K-$67K ,57000,67000,"Denver, CO"
10217,Sr. Data Analyst,$46K-$86K ,46000,86000,"San Francisco, CA"
10218,Data Analyst,$46K-$102K ,46000,102000,"Tempe, AZ"
10219,Sr. Data Analyst,$34K-$61K ,34000,61000,"San Diego, CA"
10220,Data Analyst,$57K-$67K ,57000,67000,"Denver, CO"
10221,Jr. Data Analyst,$38K-$68K ,38000,68000,"Philadelphia, PA"
10222,Data Analyst,$69K-$127K ,69000,127000,"San Jose, CA"
10223,Data Analyst,$59K-$85K ,59000,85000,"New York, NY"
10224,Data Analyst,$41K-$86K ,41000,86000,"Plano, TX"
10225,Business Data Analyst,$53K-$99K ,53000,99000,"Charlotte, NC"
10226,Data Analyst,$51K-$87K ,51000,87000,"New York, NY"
10227,Data Analyst,$51K-$93K ,51000,93000,"San Jose, CA"
10228,Sr. Data Analyst,$46K-$102K ,46000,102000,"Phoenix, AZ"
10229,Sr. Data Analyst,$98K-$114K ,98000,114000,"Woodbridge, NJ"
10230,Business Data Analyst,$27K-$52K ,27000,52000,"New York, NY"
10231,Business Data Analyst,$43K-$76K ,43000,76000,"New York, NY"
10232,Sr. Data Analyst,$59K-$85K ,59000,85000,"New York, NY"
10233,Data Analyst,$43K-$76K ,43000,76000,"New York, NY"
10234,Data Analyst,$60K-$110K ,60000,110000,"New York, NY"
10235,Sr. Data Analyst,$43K-$69K ,43000,69000,"Norfolk, VA"
10236,Sr. Data Analyst,$49K-$112K ,49000,112000,"Norfolk, VA"
10237,Data Analyst,$50K-$86K ,50000,86000,"Charlotte, NC"
10238,Jr. Data Analyst,$35K-$67K ,35000,67000,"Redmond, WA"
10239,Data Analyst,$67K-$92K ,67000,92000,"Chicago, IL"
10240,Data Analyst,$41K-$78K ,41000,78000,"Philadelphia, PA"
10241,Data Analyst,$93K-$159K ,93000,159000,"San Francisco, CA"
10242,Data Analyst,$57K-$67K ,57000,67000,"Englewood, CO"
10243,Data Analyst,$37K-$44K ,37000,44000,"Ridley Park, PA"
10244,Data Analyst,$50K-$86K ,50000,86000,"Fort Worth, TX"
10245,Data Analyst,$42K-$66K ,42000,66000,"Woodland Hills, CA"
10246,Data Analyst,$76K-$122K ,76000,122000,"San Diego, CA"
10247,Data Analyst,$49K-$91K ,49000,91000,"Englewood, CO"
10248,Data Analyst,$50K-$86K ,50000,86000,"Fort Worth, TX"
10249,Data Analyst,$57K-$100K ,57000,100000,"Littleton, CO"
10250,Lead Data Analyst,$64K-$113K ,64000,113000,"Philadelphia, PA"
10251,Data Analyst,$93K-$159K ,93000,159000,"South San Francisco, CA"
10252,Data Analyst,$51K-$93K ,51000,93000,"Sunnyvale, CA"
10253,Sr. Data Analyst,$69K-$127K ,69000,127000,"Sunnyvale, CA"
10254,Business Data Analyst,$42K-$76K ,42000,76000,"Chicago, IL"
10255,Data Analyst,$50K-$86K ,50000,86000,"Charlotte, NC"
10256,Sr. Data Analyst,$78K-$104K ,78000,104000,"Centennial, CO"
10257,Data Analyst,$69K-$127K ,69000,127000,"Stanford, CA"
10258,Data Analyst,$60K-$66K ,60000,66000,"Chicago, IL"
10259,Data Analyst,$67K-$92K ,67000,92000,"Chicago, IL"
10260,Sr. Data Scientist,$68K-$87K ,68000,87000,"Downers Grove, IL"
10261,Data Analyst,$50K-$86K ,50000,86000,"Charlotte, NC"
10262,Business Data Analyst,$47K-$74K ,47000,74000,"San Francisco, CA"
10263,Sr. Data Analyst,$37K-$44K ,37000,44000,"Mount Laurel, NJ"
10264,Data Analyst,$40K-$74K ,40000,74000,"Charlotte, NC"
10265,Data Analyst,$43K-$94K ,43000,94000,"Tempe, AZ"
10266,Data Analyst,$45K-$78K ,45000,78000,"Tempe, AZ"
10267,Data Analyst,$46K-$102K ,46000,102000,"Tempe, AZ"
10268,Data Analyst,$53K-$94K ,53000,94000,"Tempe, AZ"
10269,Business Data Analyst,$53K-$94K ,53000,94000,"Tempe, AZ"
10270,Data Analyst,$53K-$94K ,53000,94000,"Tempe, AZ"
10271,Sr. Data Analyst,$53K-$99K ,53000,99000,"Charlotte, NC"
10272,Data Analyst,$46K-$87K ,46000,87000,"New York, NY"
10273,Data Analyst,$93K-$159K ,93000,159000,"San Francisco, CA"
10274,Data Analyst II,$24K-$48K ,24000,48000,"Dallas, TX"
10275,Data Analyst II,$29K-$38K ,29000,38000,"Houston, TX"
10276,Sr. Data Analyst,$48K-$96K ,48000,96000,"Florham Park, NJ"
10277,Data Analyst,$98K-$114K ,98000,114000,"Florham Park, NJ"
10278,Sr. Data Analyst,$98K-$114K ,98000,114000,"Florham Park, NJ"
10279,Data Analyst,$29K-$38K ,29000,38000,"Houston, TX"
10280,Data Analyst,$74K-$123K ,74000,123000,"Houston, TX"
10281,Sr. Data Analyst,$27K-$52K ,27000,52000,"New York, NY"
10282,Sr. Data Scientist,$48K-$96K ,48000,96000,"New York, NY"
10283,Data Analyst,$73K-$127K ,73000,127000,"New York, NY"
10284,Data Analyst,$50K-$93K ,50000,93000,"Wilmington, DE"
10285,Data Analyst,$27K-$52K ,27000,52000,"Brooklyn, NY"
10286,Data Analyst,$28K-$52K ,28000,52000,"Columbus, OH"
10287,Sr. Data Analyst,$46K-$86K ,46000,86000,"Columbus, OH"
10288,Data Analyst,$44K-$82K ,44000,82000,"Lewisville, TX"
10289,Sr. Data Analyst,$41K-$78K ,41000,78000,"New York, NY"
10290,Business Data Analyst,$42K-$74K ,42000,74000,"New York, NY"
10291,Data Analyst,$51K-$87K ,51000,87000,"New York, NY"
10292,Data Analyst,$42K-$74K ,42000,74000,"Newark, NJ"
10293,Data Analyst,$77K-$132K ,77000,132000,"Newark, NJ"
10294,Data Analyst,$38K-$68K ,38000,68000,"Wilmington, DE"
10295,Data Analyst,$30K-$53K ,30000,53000,"Irving, TX"
10296,Sr. Data Analyst,$41K-$86K ,41000,86000,"Irving, TX"
10297,Lead Data Analyst,$48K-$88K ,48000,88000,"Irving, TX"
10298,Sr. Business Analyst,$27K-$52K ,27000,52000,"Jersey City, NJ"
10299,Business Data Analyst,$41K-$78K ,41000,78000,"New York, NY"
10300,Data Analyst,$51K-$88K ,51000,88000,"New York, NY"
10301,Data Analyst,$60K-$110K ,60000,110000,"New York, NY"
10302,Data Analyst,$59K-$85K ,59000,85000,"New York, NY"
10303,Sr. Data Analyst,$43K-$76K ,43000,76000,"New York, NY"
10304,Data Analyst,$60K-$110K ,60000,110000,"Weehawken, NJ"
10305,Data Science Analyst,$24K-$48K ,24000,48000,"Dallas, TX"
10306,Data Science Analyst,$24K-$48K ,24000,48000,"Dallas, TX"
10307,Data Analyst,$30K-$53K ,30000,53000,"Dallas, TX"
10308,Data Analyst,$26K-$47K ,26000,47000,"Salt Lake City, UT"
10309,Financial Data Analyst,$40K-$72K ,40000,72000,"Jacksonville, FL"
10310,Financial Data Analyst,$40K-$72K ,40000,72000,"Jacksonville, FL"
10311,Financial Data Analyst,$40K-$72K ,40000,72000,"Jacksonville, FL"
10312,Data Analyst,$60K-$110K ,60000,110000,"New York, NY"
